category,district,culutename,cultureaddress,organizationname,targetaudience,fee,description,thumbnailimage,startdate,enddate,isfree,portalurl
전시/미술,강남구,K-핸드메이드페어 2025,서울 삼성동 코엑스 1층  B홀,기타,누구나,"사전 예매가: 8,000원, 현장 구매가: 10,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=42afe00583eb4b0983dba37a04a41222&thumb=Y,2025. 12. 18,2025. 12. 21,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152033&menuNo=200009
콘서트,강남구,"2025 카즈미 타테이시 트리오 내한공연 [지브리, 재즈를 만나다-서울]",용산아트홀 대극장 미르,기타,"성인, 청소년","VIP석 77,000원 R석 66,000원 A석 55,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=311fd9815943420c808f1a00933ae9fb&thumb=Y,2025. 12. 13,2025. 12. 13,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154341&menuNo=200008
클래식,강남구,[마포문화재단] M 아티스트 2025 바리톤 박주성 리사이틀 Ⅱ,마포아트센터 아트홀맥,마포문화재단,8세이상 관람가능(미취학아동입장불가),"R석 40,000원, S석 25,000원",대한민국 성악가 최초 오스트리아 빈 국립 오페라 극장 전속 솔리스트로 활동 중인 사계 성악계의 떠오르는 별 '바리톤 박주성',https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4561e62e2eca40e49c603db1855b06a4&thumb=Y,2025. 12. 6,2025. 12. 6,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153461&menuNo=200008
무용,강남구,[마포문화재단] 2025 M발레시리즈 해설이 있는 발레 [Ballet Plus-고전발레로의 초대],마포아트센터 아트홀맥,마포문화재단,만 5세 이상 관람가,"전석 10,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7c681bf63ce0466a82445d6044ec42cb&thumb=Y,2025. 11. 27,2025. 11. 27,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154787&menuNo=200008
클래식,강남구,[마포문화재단] 제10회 M 클래식 축제 [비르투오소들의 조우],마포아트센터 아트홀맥,마포문화재단,8세이상 관람가능(미취학아동입장불가),"R석 30,000원, S석 20,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5358c8c242a444538b8556b0fa03ffaf&thumb=Y,2025. 11. 19,2025. 11. 19,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154791&menuNo=200008
클래식,강남구,[마포문화재단] 제10회 M 클래식 축제 [낭만의 중심에서],마포아트센터 플레이맥,마포문화재단,8세이상 관람가능(미취학아동입장불가),"전석 20,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cc3d1258e0be4314b61ae3e5fb35fc26&thumb=Y,2025. 11. 14,2025. 11. 14,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154790&menuNo=200008
클래식,강남구,[마포문화재단] 제10회 M 클래식 축제 로맨틱 리사이틀 #4. [소프라노 임선혜],마포아트센터 아트홀맥,마포문화재단,8세이상 관람가능(미취학아동입장불가),"R석 30,000원, S석 20,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e9024ec395564021a50cfef589484967&thumb=Y,2025. 11. 12,2025. 11. 12,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154480&menuNo=200008
클래식,강남구,[마포문화재단] 제10회 M 클래식 축제 로맨틱 리사이틀 #3. [피아니스트 백혜선],마포아트센터 아트홀맥,마포문화재단,8세이상 관람가능(미취학아동입장불가),"R석 30,000원, S석 20,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=efad9e8aad6b4fa3b44369a8747869c5&thumb=Y,2025. 11. 11,2025. 11. 11,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154478&menuNo=200008
클래식,강남구,[마포문화재단] 제10회 M 클래식 축제 로맨틱 리사이틀 #2. [소프라노 박혜상],마포아트센터 아트홀맥,마포문화재단, 8세이상 관람가능(미취학아동입장불가),"R석 30,000원, S석 20,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bec67c4d4a8d4c0190c40568de9c091d&thumb=Y,2025. 11. 5,2025. 11. 5,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154304&menuNo=200008
연극,강남구,[영등포문화재단] 기획공연(가족극장) [고등어],영등포아트홀,영등포문화재단,10세 이상(2015년생 포함),"전석 25,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7799c447e0244a288b0aae38177c2c1b&thumb=Y,2025. 11. 1,2025. 11. 2,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154012&menuNo=200008
